input,output,input pp,output pp,pp generation method,consistency score
Why do veins appear blue?,"Veins appear blue due to the way that light is absorbed and reflected off of them. The thin walls of veins allow blue light (wavelengths of 450–495 nm) to pass through, while other wavelengths of light are absorbed by the walls. This blue light is then absorbed by hemoglobin inside the veins and is reflected back out, making them appear blue.",Why do they appear blue?,"Light appears blue when it is scattered by tiny particles suspended in the air. When the sun's light hits these particles (which may include dust, smoke, and other pollutants) in the atmosphere, the particles scatter the light, causing it to appear blue.",Use pronouns,0
Why do veins appear blue?,"Veins appear blue because of the way light reflects off of them. The thin walls of veins allow light to pass through them and be absorbed by the hemoglobin in the red blood cells inside. The deoxygenated hemoglobin reflects blue light back out, creating the appearance of blue veins.",Why is the sky the limit?,"The phrase ""the sky is the limit"" is used to express the idea that there is no limit to what someone can accomplish; that someone has an extraordinary potential to achieve their goals. It is often used as an inspirational phrase to encourage people to pursue their dreams and ambitions.",Use idioms,0
What is the spiciest part of a chili pepper?,"The spiciest part of a chili pepper is the innermost membrane, also known as the placenta, which is located between the seeds and the flesh. This is where the highest concentration of capsaicin is found, which gives chili peppers their characteristic heat and spiciness.",Why is the chili pepper not spicy?,"There are several reasons why a chili pepper might not be spicy. It could be the variety of chili pepper, the environmental conditions it was grown in, or the age of the pepper. Different varieties of chili peppers vary in spiciness, with some being much milder than others. Environmental conditions can also affect the spiciness of chili peppers, as too much or too little water and sunlight can cause the chili pepper to have less of the compounds that give them their spiciness. Lastly, the age of the chili pepper can also affect the spiciness. Older chili peppers will tend to be more mild than younger ones, as over time the capsaicin – the chemical that makes chili peppers spicy – naturally breaks down.",Verbs- positive to negative (or vice versa),0
What is the spiciest part of a chili pepper?,"The spiciest part of a chili pepper is typically the seeds and the white membranes that hold the seeds in place. The white membranes hold the most capsaicin, which is the chemical that gives chili peppers their spice.",What is the hottest part of a chili pepper?,"The hottest part of a chili pepper is the placenta, which is the white membrane located inside the pepper. The placenta holds most of the pepper's seeds and contains the highest concentration of capsaicin, the chemical that gives chili peppers their heat.",Use synonyms,0
What is the spiciest part of a chili pepper?,"The spiciest part of a chili pepper is the rib, or the white membrane, that holds the seeds. This section of the chili pepper contains the highest concentration of capsaicin, which is the compound that gives chili peppers their heat.",What is the hottest portion of a chili pepper?,"The hottest portion of a chili pepper is the white membrane that connects the seeds to the inner walls of the pepper. This portion contains the most capsaicin, the compound that gives chili peppers their heat.",Change word forms (parts of speech),0
What is the spiciest part of a chili pepper?,"The spiciest part of a chili pepper is the internal white placenta, which contains the seeds and holds the highest concentration of capsaicin, the compound responsible for the heat.","Of a chili pepper, the spiciest part is what?","The spiciest part of a chili pepper is the rib or placenta, which contains the highest concentration of capsaicin, the compound responsible for its spiciness.",Change the structure of a sentence,0
What is the spiciest part of a chili pepper?,"The spiciest part of a chili pepper is the white pithy ribs and seeds, which contain the highest concentration of capsaicin – the compound responsible for the heat in chili peppers.","Although I don't know what the spiciest part of a chili pepper is, I want to find out.","I plan to research different chili pepper varieties and their spiciness levels to better understand what the spiciest part of a chili pepper is. I will look for information from botanical websites, cooking websites, scientific journals, and even experiences from people who eat chili peppers. I will also read about the different compounds that give chili peppers their heat, such as capsaicin. By gathering this information, I will be better able to understand the spiciest part of a chili pepper.",Change conjunctions,0
What is the spiciest part of a chili pepper?,"The spiciest part of a chili pepper is the placenta, which is the white membrane located in the center of the pepper. It holds the seeds and is the part of the pepper that contains the most capsaicin, the compound that makes peppers spicy.",Where does the heat hit the most in a chili pepper?,"The heat in a chili pepper is distributed throughout the entire pepper, but the concentration is highest in the seeds and the inner walls of the pepper.",Use idioms,0
How long should you wait before filing a missing person report?,It is recommended that you wait at least 24 hours before filing a missing person report with law enforcement.,Why shouldn't you file a missing person report immediately?,It is important to first take the time to make sure the person is actually missing and not just temporarily out of contact. It is also important to consult with police or family members for guidance to ensure the most effective course of action is taken. Filing a missing person report should only be done when all other possible steps have been taken.,Verbs- positive to negative (or vice versa),0
How long should you wait before filing a missing person report?,"It is recommended that a missing person report be filed with local law enforcement as soon as possible. If a person under the age of 18 is missing, a report should be filed immediately.",A missing person report should be filed after how long?,"In most cases, a missing person report should be filed as soon as possible after a person is reported missing.",Change active to passive OR passive to active,0
How long should you wait before filing a missing person report?,"It is recommended to file a missing person report as soon as possible. Depending on the age and situation of the missing person, it may be appropriate to wait up to 24 hours before filing a report.",How long should you linger before filing a missing person report?,"It is not recommended to wait any length of time before filing a missing person report, as the sooner law enforcement is notified of a missing person, the sooner they can begin the investigation. If you are concerned that someone you know may be missing, contact your local police department as soon as possible.",Use synonyms,0
How long should you wait before filing a missing person report?,"It is recommended that a missing person report be filed as soon as possible after a person has gone missing. Depending on the person’s age and circumstances, a family or law enforcement may decide to wait for a few hours or even a day before filing the report.","Before filing a missing person report, how long should you wait?",It is generally recommended that you wait 24 to 48 hours before filing a missing person report.,Change the structure of a sentence,0
How long should you wait before filing a missing person report?,"In the United States, there is no set amount of time to wait before filing a missing person report. However, it is recommended that you contact the police and report your loved one missing as soon as possible.",How long should you give them the benefit of the doubt before filing a missing person report?,"It depends on the circumstances. Generally, if you know or suspect that the person has been missing for more than 24 hours, it is recommended that a missing persons report be filed immediately with the police.",Use idioms,0
Why do matadors wave red capes?,"Matadors wave red capes in front of bulls to antagonize them and keep their attention. The red color of the cape is thought to excite the bulls and agitate them, making them charge at the matador.",Red capes could be waved by matadors for what reason?,Matadors wave red capes to attract the attention of the bull and to distract it during a bullfight. The red cape is used by the matador to perform a series of passes and maneuvers to control the bull.,Change active to passive OR passive to active,0
Why do matadors wave red capes?,Matadors wave red capes to attract and keep the attention of the bull during a bullfight. The bright color associated with blood and movement appears to anger the bull and make it more aggressive.,Why do matadors brandish red capes?,"Matadors brandish red capes as a way of attracting and enraging the bull. The movement of the cape, combined with its bright color, helps to focus the bull's attention and encourage it to charge. The cape also aids the matador in controlling the direction of the bull's movements.",Use synonyms,0
Why do matadors wave red capes?,"Matadors wave red capes in the bullring to agitate the bull, which is a technique known as capoteo. By waving the red cape, the matador distracts the bull from their body and encourages it to charge the cape. The bull's aggression is necessary in order to perform the movements that make up a traditional bullfight.",Why do matadors brandish red capes?,Matadors brandish red capes to entice the bull to charge and keep its attention on the cape and away from the matador. The movement of the cape also excites the bull and creates an exciting spectacle for the audience.,Change word forms (parts of speech),0
Why do matadors wave red capes?,"Matadors wave red capes to attract and agitate the bull. The movement of the red cape agitates the bull and causes it to charge, which is an essential part of the bullfighting ritual.",Red capes are waved by matadors for what reason?,"Red capes are waved by matadors as a way to attract the attention of the bull they are attempting to fight. The bright color of the cape helps to focus the bull's attention on the matador, allowing them to control the bull's movements and ultimately win the fight.",Change the structure of a sentence,0
Why do matadors wave red capes?,"Matadors wave red capes to taunt and anger the bull. Red is a color that stands out and attracts the bull's attention. The color also represents the bull's own blood and bravery, making it agitate and charge. Waving the cape also gives the matador a chance to show off his skill and bravery.","Although it is not clear why, matadors wave red capes.","The reason why matadors wave red capes is to antagonize the bull and focus its attention on the cape rather than the matador. Red is an especially stimulating color for bulls, and its movement across the ring creates tension and excites the animal's sense of aggression.",Change conjunctions,0
Why do matadors wave red capes?,Matadors wave red capes in bullfighting to provoke the bull into charging. A charging bull is seen as a more exciting spectacle for the audience and it is also considered a test of the matador’s skill to be able to control and maneuver the bull.,Why do matadors take the bull by the horns?,A matador will take a bull by the horns to assert dominance and control over the animal. It is also a sign of courage and bravery.,Use idioms,0
What percentage of the brain does a human typically use?,"There is no one definitive answer to this question. Depending on the individual, estimates range from 5-20%. Some researchers theorize that humans are capable of using up to 100% of the brain's capacity, though this idea is still controversial.",What percentage of the brain does a human typically not use?,"There is no scientific consensus on this question, as the amount of the brain an individual uses at any given time is highly variable and difficult to measure. Several studies have suggested that humans use only a small fraction of their total brain capacity, but it is impossible to provide a definitive percentage.",Verbs- positive to negative (or vice versa),0
What percentage of the brain does a human typically use?,Most researchers believe that on average a typical human being only uses about 10 - 20% of their brain's capacity.,What proportion of the brain is typically used by a human?,"It is impossible to know the exact proportion of the brain that is used by an individual. However, it is estimated that a typical human uses only 10-20% of the brain's full potential.",Change active to passive OR passive to active,0
What percentage of the brain does a human typically use?,Most researchers and scientists agree that humans only use about 10-20% of their brain's capacity.,What proportion of the brain does a human usually employ?,Most researchers agree that humans use about 10% of their brain capacity.,Use synonyms,0
What percentage of the brain does a human typically use?,"There is no definite answer to this question, as it is widely debated within the scientific community. Generally, it is believed that humans typically use only a small percentage of their brain's potential, ranging from around 1-10%.",What proportion of the brain does a human usually utilize?,It is estimated that humans typically use only 10 percent of their brain's capacity.,Change word forms (parts of speech),0
What percentage of the brain does a human typically use?,"Most experts agree that an average person only uses a small percentage of their total brain capacity. Estimates of the exact amount vary, but generally range from 5 to 20 percent.","Although I don't know the exact figure, what percentage of the brain does a human usually use?","The exact figure is unknown, but it is generally estimated that humans use only a small portion of their brain's total potential. Estimates range from 10% to as high as 20%.",Change conjunctions,0
What percentage of the brain does a human typically use?,"Most experts agree that humans use only a small percentage of the capacity of their brains, typically somewhere between 5 and 10 percent.",What percentage of it does a human typically use?,It is estimated that the average person uses approximately 10-15 percent of their brain's full capacity.,Use pronouns,0
What percentage of the brain does a human typically use?,Most researchers agree that a person typically uses only 10 percent of their brain's capacity. It is believed that the other 90 percent of the brain has the potential to be unlocked with the right training or stimulation.,What proportion of the brain does a human typically utilize?,"It is difficult to determine the exact percentage of a human brain typically utilized because the capacity of the human brain is still heavily debated. However, most estimates suggest that the average person uses somewhere between 5 to 10 percent of their total brain capacity.",Use idioms,0
What would happen if you were struck by a penny dropped from the top of the Empire State Building?,"If you were struck by a penny dropped from the top of the Empire State Building, you would likely sustain serious injuries, including broken bones, due to the high velocity of the penny when it impacts you. The penny would have a terminal velocity of around 200 miles per hour and the potential to cause significant damage.",What would occur if you were hit by a penny dropped from the top of the Empire State Building?,"The penny would not have enough force to cause serious injury, though it may sting depending on the angle at which it struck. The penny would most likely not cause any damage to the person it hits.",Verbs- positive to negative (or vice versa),0
What would happen if you were struck by a penny dropped from the top of the Empire State Building?,"If you were struck by a penny dropped from the top of the Empire State Building, the impact would likely cause serious injury or even death. The penny would reach terminal velocity of around 125 miles per hour, and would have enough force to cause serious harm.",What could occur if a penny dropped from the top of the Empire State Building was to hit you?,"If a penny dropped from the top of the Empire State Building were to hit you, it could possibly cause serious injury or even death due to the sheer force at which the penny would be travelling. Even a penny that small can carry a great amount of energy when falling from such a height.",Change active to passive OR passive to active,0
What would happen if you were struck by a penny dropped from the top of the Empire State Building?,"If you were struck by a penny dropped from the top of the Empire State Building, it would most likely cause some bruising and skin damage, but it would unlikely be serious. The penny would be traveling at speeds of up to 50 mph when it reached you, so the impact is likely to be significant, but not life threatening.","If a penny were dropped from the top of the Empire State Building, what would be the result?","The penny would most likely sustain significant damage or completely shatter on impact, due to the immense force of gravity. Additionally, since the Empire State Building is 1,454 feet tall, the penny could travel at a speed of up to 200 miles per hour when it reaches the ground, potentially causing injury to bystanders.",Change the structure of a sentence,0
What would happen if you were struck by a penny dropped from the top of the Empire State Building?,"If you were struck by a penny dropped from the top of the Empire State Building, you would likely suffer serious injuries due to the high speed of the penny when it impacts you. At its terminal velocity, a penny dropped from the top of the Empire State Building would fall at around 200 miles per hour (322 km/hr). As such, it could easily penetrate skin and cause significant tissue damage.","Although it would be unlikely, if you were struck by a penny dropped from the top of the Empire State Building, what would occur?","If you were struck by a penny dropped from the top of the Empire State Building, the results would be potentially fatal. The penny would be traveling at speeds between 100 and 200 mph when it hit you, and the impact would be equivalent to being struck by a hammer.",Change conjunctions,0
What U.S. state produces the most peaches?,The state that produces the most peaches in the United States is Georgia.,The most peaches are produced by what U.S. state?,The state that produces the most peaches in the U.S. is California.,Change active to passive OR passive to active,0
What U.S. state produces the most peaches?,Georgia is the leading producer of peaches in the United States.,Which U.S. state yields the most peaches?,"Georgia is the leading peach producer in the United States, followed by California, South Carolina, and New Jersey.",Change word forms (parts of speech),0
What U.S. state produces the most peaches?,"Georgia is the largest producer of peaches in the United States. Other major producers include California, South Carolina, and Alabama.","Of the U.S. states, which produces the most peaches?",The state that produces the most peaches in the United States is Georgia.,Change the structure of a sentence,0
What U.S. state produces the most peaches?,The state of Georgia produces the most peaches in the United States.,What U.S. state has the most peach pies in the sky?,"There is no definitive answer to this question, as the popularity of peach pies in the sky is likely to vary from state to state.",Use idioms,0
Why do chameleons change colors?,"Chameleons change colors to help regulate their internal temperature, communicate with other chameleons, camouflage themselves, or show their excitement or dominance during a mating ritual.",Why don't chameleons change colors?,"Chameleons do change colors when they feel threatened or to attract a mate. However, this color change is dependent on the environment around the chameleon, as well as the species of chameleon; some species are limited in the range of colors they can change. Chameleons may also not show dramatic color changes if they are in captivity, as they may not be exposed to the same stimuli as they would be in the wild.",Verbs- positive to negative (or vice versa),0
Why do chameleons change colors?,"Chameleons change colors for a variety of reasons, such as regulating their body temperature, communicating with other chameleons, and camouflage. They can also change colors as a response to stress, excitement, or aggression.",Why do chameleons alter their hues?,"Chameleons alter their hues to help them blend in and hide from predators, regulate their temperature, and communicate with other chameleons. It is a form of camouflage, recognizing and responding to changes in the environment so that the chameleon can better survive.",Use synonyms,0
Why do chameleons change colors?,Chameleons change colors to blend in with their environment and control their body temperature. They are able to change colors to hide from potential predators or to communicate with other chameleons in the same environment.,Why do chameleons alter their colors?,"Chameleons change color for several reasons. Firstly, color change helps them to regulate their body temperature. Secondly, color change is used for camouflage. In addition, the color change may be used to communicate with other chameleons or other animals. Lastly, color change may be used as a way to intimidate or warn predators.",Change word forms (parts of speech),0
Why do chameleons change colors?,"Chameleons change colors for several reasons. One main reason is for camouflage purposes, to blend in with their environment and avoid predators. Other reasons include communication, to display mood or dominance, regulate body temperature, and attract mates.",Change in colors by chameleons - why does it happen?,"Chameleons change colors to help them regulate their body temperatures, camouflage themselves from predators, and communicate with potential mates. They do this by changing the size and shape of specialized cells known as ""chromatophores,"" which are located in the skin and contain different colored pigments. The brightness and color of the pigment changes in response to environmental conditions and hormones released in the body.",Change the structure of a sentence,0
Why do chameleons change colors?,Chameleons change colors mainly for camouflage and communication. They use their color-changing ability to blend into their environment and avoid being seen by predators. They can also change color to show their mood or to indicate dominance or submission to other chameleons.,"Although we don't know why, chameleons change colors.","This ability is believed to be an evolutionary adaptation that helps the chameleon blend in with its environment and hide from predators. Chameleons can also change color to communicate with other chameleons, regulate their body temperature, and attract mates.",Change conjunctions,0
Why do chameleons change colors?,"Chameleons change colors for a variety of reasons, such as to regulate body temperature, camouflage, to blend in with the environment, or to communicate with other chameleons.",Why do they change colors?,"Leaf color changes are caused by several factors, including light, temperature, water availability, and nutrition. Light causes the plant to produce more of certain pigments, such as chlorophyll, which gives leaves their green color, while warm temperatures and plenty of water can cause some pigments to break down, turning the leaves yellow or red. Changes in nutrition levels, such as nitrogen or phosphorus, can also lead to changes in color.",Use pronouns,0
Why do chameleons change colors?,"Chameleons change colors as a way of communication and to regulate their body temperature. Changing colors is a form of camouflage and helps chameleons blend in with their surroundings and hide from predators. This can also be a way for chameleons to display their emotions such as fear, aggression, or courtship.",Why do chameleons play the role of a chameleon?,"Chameleons are able to play the role of a chameleon due to their ability to change their color. This ability helps the chameleon camouflage itself from potential predators and helps it find food by blending into its environment. Chameleons can also change color to communicate with other chameleons; for example, darkening their color may indicate aggression, while lightening their color may indicate submission.",Use idioms,0
On what date was the Declaration of Independence officially signed?,"July 4, 1776",On what date was the Declaration of Independence not officially signed?,"The Declaration of Independence was not officially signed on July 4th, 1776. It was officially signed on August 2nd, 1776.",Verbs- positive to negative (or vice versa),0
On what date was the Declaration of Independence officially signed?,"The Declaration of Independence was officially signed on July 4, 1776.",On what date was the signing of the Declaration of Independence officially completed?,"The Declaration of Independence was officially completed on August 2, 1776.",Change active to passive OR passive to active,0
On what date was the Declaration of Independence officially signed?,"July 4, 1776",When was the Declaration of Independence officially signed?,"The Declaration of Independence was officially signed on August 2, 1776.",Change the structure of a sentence,0
On what date was the Declaration of Independence officially signed?,"July 4, 1776.",On what date was the Constitution inked?,"The Constitution was signed on September 17th, 1787.",Use idioms,0
What color is the sun when viewed from space?,The sun appears white when viewed from space.,"From space, the sun's color can be observed.","From the perspective of an observer on Earth, it appears yellow. The exact color of the sun depends on the observer's perspective, since it can appear to take on different hues depending on atmospheric conditions or the angle from which it is viewed. Generally, the sun appears yellow from Earth since it emits mostly yellow light at a wavelength of about 5,800 angstroms.",Change the structure of a sentence,0
What color is the sun when viewed from space?,The sun appears white when viewed from space.,What color is it when seen from space?,"From space, Earth appears blue. The blue color is due to the oceans and atmosphere, which contain water and other particles that scatter and reflect blue light from the Sun.",Use pronouns,0
"Who composed the tune of ""Twinkle, Twinkle, Little Star""?","The tune of ""Twinkle, Twinkle, Little Star"" was composed by Wolfgang Amadeus Mozart in 1781.","Who did not compose the tune of ""Twinkle, Twinkle, Little Star""?","The tune of ""Twinkle, Twinkle, Little Star"" is a traditional English lullaby, and was not composed by any single individual.",Verbs- positive to negative (or vice versa),0
"Who composed the tune of ""Twinkle, Twinkle, Little Star""?","The tune of ""Twinkle, Twinkle, Little Star"" was composed by Wolfgang Amadeus Mozart in 1761.","The tune of ""Twinkle, Twinkle, Little Star"" was composed by whom?","The tune of ""Twinkle, Twinkle, Little Star"" was composed by Johannes Brahms in 1868.",Change active to passive OR passive to active,0
"Who composed the tune of ""Twinkle, Twinkle, Little Star""?","The tune of ""Twinkle, Twinkle, Little Star"" was composed by Franz Joseph Haydn in 1781.","Who crafted the melody of ""Twinkle, Twinkle, Little Star""?","The melody of ""Twinkle, Twinkle, Little Star"" was composed by French composer and organist Jean-Pierre Louÿs in the early 19th century.",Use synonyms,0
"Who composed the tune of ""Twinkle, Twinkle, Little Star""?","The melody of ""Twinkle, Twinkle, Little Star"" was composed by Mozart in 1761.","Who wrote the music of ""Twinkle, Twinkle, Little Star""?","The melody of ""Twinkle, Twinkle, Little Star"" was composed by Franz Joseph Haydn in about 1781 and was published in 1797. The lyrics were written by the English poet Jane Taylor in 1806.",Change word forms (parts of speech),0
"Who composed the tune of ""Twinkle, Twinkle, Little Star""?","The melody for ""Twinkle, Twinkle, Little Star"" is a traditional French melody, ""Ah! vous dirai-je, Maman"", which was published in 1761 by French composer and keyboardist, Marie-Antoine Careme.","The tune of ""Twinkle, Twinkle, Little Star"" was composed by whom?","The tune of ""Twinkle, Twinkle, Little Star"" was composed by Mozart in 1781, adapted from a French folk tune.",Change the structure of a sentence,0
"Who composed the tune of ""Twinkle, Twinkle, Little Star""?","The tune of ""Twinkle, Twinkle, Little Star"" was composed by Wolfgang Amadeus Mozart in 1781.","Although I do not know who composed the tune of ""Twinkle, Twinkle, Little Star"", I wanted to find out.","According to the Oxford English Dictionary, the song was composed by the English composer and musician Jane Taylor in 1806.  Taylor wrote the words for the song, which were based on an earlier poem by the English poet and playwright Mary Lamb.",Change conjunctions,0
"Who composed the tune of ""Twinkle, Twinkle, Little Star""?","The tune of ""Twinkle, Twinkle, Little Star"" was composed by Franz Joseph Haydn in 1781.","Who wrote the melody of ""Twinkle, Twinkle, Little Star""?","The melody of ""Twinkle, Twinkle, Little Star"" was composed in 18th-century France by composer and organist Jean-Pierre Claris de Florian.",Use pronouns,0
What happens if an earthworm is cut in half?,"If an earthworm is cut in half, the front half will usually die within a few hours. The back half may still be able to survive but it is unlikely to regenerate the missing front section. This is because earthworms have a centralized nervous system that controls all the body's functions, and without it, the worm will die.","If an earthworm is cut in half, the effects can be observed.","Immediately, the wound will appear at the point of separation, and the two halves will begin twitching. The worm will soon enter a paralyzed state, with its blood pressure decreasing, and its body temperature dropping. After a few minutes, one of the halves will die. The other will be able to survive, but it will not be able to regenerate its missing body parts. It will become two unrelated worms.",Change active to passive OR passive to active,0
What happens if an earthworm is cut in half?,"If an earthworm is cut in half, the two halves will usually die within a few minutes. The front half will usually survive slightly longer than the back half. This is because the front half contains most of the worm's nervous system and reproduction organs, while the back half is mainly just muscle and tissue.",What transpires if an earthworm is divided in two?,"Earthworms are able to regenerate, so if an earthworm is divided in two, each half will regenerate and become two new, individual worms.",Use synonyms,0
What happens if an earthworm is cut in half?,"When an earthworm is cut in half, its front half will usually die. The rear half may survive if the cut did not disrupt major organs or the nerve cord. However, the rear half will not be able to regenerate a new head and will not be able to reproduce.","Although I don't know what happens if an earthworm is cut in half, I'm curious.","Earthworms are known to regenerate lost segments, so if an earthworm was cut in half it may be able to grow back both parts and remain healthy and mobile. However, depending on the cut, the worm may not be able to regenerate, or the regenerated segments may not be able to properly function, leaving the earthworm unable to move or feed itself and ultimately leading to its death.",Change conjunctions,0
What happens if an earthworm is cut in half?,"If an earthworm is cut in half, the two halves cannot survive. Each half contains only part of the digestive, circulatory, and reproductive systems, and two halves are not enough for the earthworm to survive.",What occurs if it is cut in half?,"If something is cut in half, it will be divided into two equal sections. Depending on the material that is being cut, the result may leave two distinct/separate pieces or a broken/shattered piece.",Use pronouns,0
What happens if an earthworm is cut in half?,"If an earthworm is cut in half, the two parts will usually die. Earthworms do not have the ability to regenerate lost body parts like some other invertebrates, so it cannot survive being cut in two.","If an earthworm is cut in half, it will bite the dust.","No, an earthworm can still survive after being cut in half. A worm's main vital organs, like its heart and gut, are near the head, so if it is only cut in half it can still survive in two pieces. The two halves may curl up and remain motionless, but they will not die.",Use idioms,0
Has MSG been scientifically proven to be harmful to humans in small doses?,"No, MSG has not been scientifically proven to be harmful to humans in small doses. Although there is some evidence that large amounts of MSG can cause headaches and other unpleasant reactions, there is no scientific evidence to suggest that small doses of MSG can have any negative effects.",Can scientists not prove that MSG is harmful to humans in small doses?,"No, scientists cannot prove that MSG is harmful to humans in small doses. While MSG has been reported to cause adverse reactions in some people, not enough conclusive evidence exists to state definitively that MSG is harmful in small doses. Thus, further research is needed to determine whether or not MSG is harmful in small doses.",Verbs- positive to negative (or vice versa),0
Has MSG been scientifically proven to be harmful to humans in small doses?,"The scientific evidence on the safety of MSG is mixed. Some studies suggest that consuming MSG in small doses can be safe, while other studies, mostly in animals, have found potential negative health effects. More research is needed to better understand the safety of MSG in humans.",Has it been scientifically demonstrated that MSG is injurious to humans in small amounts?,"No. Although some people report sensitivity to MSG, there is no scientific evidence to support the claim that MSG is harmful to humans in small amounts. Studies have found that the amounts of MSG typically consumed in a meal (3-5 g) are not associated with any adverse health effects.",Use synonyms,0
Has MSG been scientifically proven to be harmful to humans in small doses?,"No. Although there is some evidence that suggests that ingesting MSG in large quantities can cause negative reactions such as headaches, flushing, and chest pains, there is no scientific evidence to suggest that ingesting MSG in small doses is harmful.","In small doses, has the harm of MSG been scientifically proven to humans?","No, the harm of MSG has not been scientifically proven to humans, but some people report negative reactions to MSG. Despite decades of research, there is no scientific evidence that MSG causes negative health effects in humans, except in large doses. The US Food and Drug Administration (FDA) has classified it as a safe food ingredient.",Change the structure of a sentence,0
